City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Ilhabela,BR,-23.7781,-45.3581,66.97,92,24,5.32,few clouds
141,Klimovo,RU,52.3805,32.1923,57.79,88,0,11.07,clear sky
142,Wanning,CN,18.8003,110.3967,86.94,69,20,6.44,few clouds
143,Verkhnevilyuysk,RU,63.4453,120.3167,71.24,58,37,5.55,scattered clouds
144,Karratha,AU,-20.7377,116.8463,79.38,50,0,4.79,clear sky
145,Meulaboh,ID,4.1363,96.1285,86.36,61,68,4.81,broken clouds
146,Campos Belos,BR,-13.0367,-46.7717,66.88,44,5,2.59,clear sky
147,Nador,MA,35.174,-2.9287,77.25,88,0,2.3,clear sky
148,Ahuimanu,US,21.4447,-157.8378,83.91,70,40,14.97,scattered clouds
149,Tilichiki,RU,60.4667,166.1,63.36,47,17,7.83,few clouds
150,Chuy,UY,-33.6971,-53.4616,51.06,93,99,4.94,overcast clouds
151,Grindavik,IS,63.8424,-22.4338,51.75,100,100,2.3,light rain
152,Galesong,ID,-5.3166,119.3661,84.22,71,47,4.38,scattered clouds
153,Katyuzhanka,UA,50.806,30.1376,62.58,89,7,8.25,clear sky
154,Vuktyl,RU,63.8567,57.3094,57.11,45,85,10.96,overcast clouds
155,Saldanha,ZA,-33.0117,17.9442,44.65,80,100,7.16,overcast clouds
156,Singaraja,ID,-8.112,115.0882,83.88,65,100,2.15,overcast clouds
157,Airai,TL,-8.9266,125.4092,71.67,37,46,3.83,scattered clouds
158,Kamenka,RU,51.3223,42.7678,56.26,95,100,7.16,light rain
159,Haines Junction,CA,60.7522,-137.5108,60.75,44,57,12.66,broken clouds
160,Lorengau,PG,-2.0226,147.2712,85.01,70,39,9.95,scattered clouds
161,Margate,GB,51.3813,1.3862,62.91,78,48,3.0,scattered clouds
162,Barrow,US,71.2906,-156.7887,42.82,75,75,24.16,broken clouds
163,Luderitz,NA,-26.6481,15.1594,58.87,63,0,10.16,clear sky
164,Harper,LR,4.375,-7.7169,74.93,74,98,7.47,overcast clouds
165,Ballina,AU,-28.8667,153.5667,60.01,99,100,20.29,light rain
166,Khatanga,RU,71.9667,102.5,62.89,55,88,9.28,overcast clouds
167,Faanui,PF,-16.4833,-151.75,77.34,73,16,10.22,light rain
168,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.49,90,97,7.49,overcast clouds
169,Nome,US,64.5011,-165.4064,50.07,76,100,10.36,overcast clouds
170,Carauari,BR,-4.8828,-66.8958,74.14,93,100,3.38,overcast clouds
171,Bitkine,TD,11.9801,18.2138,73.89,87,100,5.53,overcast clouds
172,Katsuura,JP,35.1333,140.3,80.62,87,39,17.78,scattered clouds
173,Apatou,GF,5.155,-54.3472,72.77,99,100,2.21,overcast clouds
174,Turayf,SA,31.6725,38.6637,71.85,56,0,9.22,clear sky
175,Quatre Cocos,MU,-20.2078,57.7625,70.09,72,65,17.07,light rain
176,Nosy Varika,MG,-20.5833,48.5333,62.17,89,24,4.41,few clouds
177,Curuguaty,PY,-24.4694,-55.6945,65.91,65,31,3.4,scattered clouds
178,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,40,19.57,scattered clouds
179,Hithadhoo,MV,-0.6,73.0833,77.63,89,100,13.91,light rain
180,Forest Grove,US,45.5198,-123.1107,79.18,62,0,11.5,clear sky
181,Chincha Alta,PE,-13.4099,-76.1323,59.59,81,5,1.86,clear sky
182,Awjilah,LY,29.1081,21.2869,72.46,46,0,8.25,clear sky
183,Kuytun,RU,54.3419,101.5036,70.65,48,100,13.49,overcast clouds
184,Eldoret,KE,0.5204,35.2699,57.29,94,40,2.3,light rain
185,Olovyannaya,RU,50.95,115.5667,85.41,44,69,9.4,broken clouds
186,Itaituba,BR,-4.2761,-55.9836,77.83,69,100,2.1,overcast clouds
187,Rudbar,AF,30.15,62.6,96.13,11,0,7.49,clear sky
188,Ilulissat,GL,69.2167,-51.1,50.02,87,75,5.75,broken clouds
189,Marzuq,YE,14.4,46.4667,75.49,62,14,8.28,few clouds
190,Dukat,RU,62.55,155.55,60.84,39,2,10.8,clear sky
191,Wairoa,NZ,-39.0333,177.3667,49.55,89,100,8.01,overcast clouds
192,Lima,PE,-12.0432,-77.0282,59.25,77,100,13.8,overcast clouds
193,San Quintin,MX,30.4833,-115.95,71.06,74,57,12.55,broken clouds
194,Bandarbeyla,SO,9.4942,50.8122,78.55,66,48,25.08,scattered clouds
195,Cidreira,BR,-30.1811,-50.2056,63.16,92,100,3.0,overcast clouds
196,Lucapa,AO,-8.4192,20.7447,65.43,56,44,3.47,scattered clouds
197,Kavieng,PG,-2.5744,150.7967,82.53,76,100,9.42,overcast clouds
198,Porbandar,IN,21.6422,69.6093,81.97,82,100,16.02,overcast clouds
199,Kaitangata,NZ,-46.2817,169.8464,44.2,85,100,3.56,overcast clouds
200,Chojnice,PL,53.6955,17.557,64.92,92,94,3.67,moderate rain
201,Parana,AR,-31.732,-60.5238,58.55,88,100,5.64,light rain
